<第1题>  75 /  15 = ____ ||||| answer = 5 
<第2题>  7 /  1 = ____ ||||| answer = 7 
<第3题>  64 /  8 = ____ ||||| answer = 8 
<第4题>  27 /  3 = ____ ||||| answer = 9 
<第5题>  27 /  9 = ____ ||||| answer = 3 
<第6题>  19 /  19 = ____ ||||| answer = 1 
<第7题>  135 /  15 = ____ ||||| answer = 9 
<第8题>  30 /  10 = ____ ||||| answer = 3 
<第9题>  64 /  16 = ____ ||||| answer = 4 
<第10题>  9 /  9 = ____ ||||| answer = 1 
<第11题>  15 /  5 = ____ ||||| answer = 3 
<第12题>  38 /  19 = ____ ||||| answer = 2 
<第13题>  49 /  7 = ____ ||||| answer = 7 
<第14题>  96 /  16 = ____ ||||| answer = 6 
<第15题>  40 /  8 = ____ ||||| answer = 5 
<第16题>  40 /  5 = ____ ||||| answer = 8 
<第17题>  12 /  12 = ____ ||||| answer = 1 
<第18题>  64 /  16 = ____ ||||| answer = 4 
<第19题>  5 /  1 = ____ ||||| answer = 5 
<第20题>  108 /  12 = ____ ||||| answer = 9 
<第21题>  6 /  6 = ____ ||||| answer = 1 
<第22题>  72 /  9 = ____ ||||| answer = 8 
<第23题>  99 /  11 = ____ ||||| answer = 9 
<第24题>  9 /  9 = ____ ||||| answer = 1 
<第25题>  36 /  9 = ____ ||||| answer = 4 
<第26题>  30 /  10 = ____ ||||| answer = 3 
<第27题>  80 /  16 = ____ ||||| answer = 5 
<第28题>  90 /  10 = ____ ||||| answer = 9 
<第29题>  42 /  6 = ____ ||||| answer = 7 
<第30题>  24 /  6 = ____ ||||| answer = 4 
<第31题>  45 /  5 = ____ ||||| answer = 9 
<第32题>  84 /  14 = ____ ||||| answer = 6 
<第33题>  38 /  19 = ____ ||||| answer = 2 
<第34题>  2 /  2 = ____ ||||| answer = 1 
<第35题>  78 /  13 = ____ ||||| answer = 6 
<第36题>  133 /  19 = ____ ||||| answer = 7 
<第37题>  9 /  1 = ____ ||||| answer = 9 
<第38题>  10 /  10 = ____ ||||| answer = 1 
<第39题>  60 /  15 = ____ ||||| answer = 4 
<第40题>  64 /  16 = ____ ||||| answer = 4 
<第41题>  104 /  13 = ____ ||||| answer = 8 
<第42题>  30 /  6 = ____ ||||| answer = 5 
<第43题>  77 /  11 = ____ ||||| answer = 7 
<第44题>  56 /  8 = ____ ||||| answer = 7 
<第45题>  16 /  16 = ____ ||||| answer = 1 
<第46题>  1 /  1 = ____ ||||| answer = 1 
<第47题>  28 /  7 = ____ ||||| answer = 4 
<第48题>  56 /  7 = ____ ||||| answer = 8 
<第49题>  162 /  18 = ____ ||||| answer = 9 
<第50题>  65 /  13 = ____ ||||| answer = 5 
<第51题>  36 /  9 = ____ ||||| answer = 4 
<第52题>  24 /  12 = ____ ||||| answer = 2 
<第53题>  49 /  7 = ____ ||||| answer = 7 
<第54题>  9 /  9 = ____ ||||| answer = 1 
<第55题>  35 /  7 = ____ ||||| answer = 5 
<第56题>  70 /  10 = ____ ||||| answer = 7 
<第57题>  12 /  4 = ____ ||||| answer = 3 
<第58题>  90 /  10 = ____ ||||| answer = 9 
<第59题>  51 /  17 = ____ ||||| answer = 3 
<第60题>  2 /  1 = ____ ||||| answer = 2 
<第61题>  36 /  6 = ____ ||||| answer = 6 
<第62题>  55 /  11 = ____ ||||| answer = 5 
<第63题>  35 /  5 = ____ ||||| answer = 7 
<第64题>  54 /  18 = ____ ||||| answer = 3 
<第65题>  45 /  9 = ____ ||||| answer = 5 
<第66题>  48 /  16 = ____ ||||| answer = 3 
<第67题>  18 /  3 = ____ ||||| answer = 6 
<第68题>  56 /  8 = ____ ||||| answer = 7 
<第69题>  12 /  2 = ____ ||||| answer = 6 
<第70题>  104 /  13 = ____ ||||| answer = 8 
<第71题>  20 /  5 = ____ ||||| answer = 4 
<第72题>  26 /  13 = ____ ||||| answer = 2 
<第73题>  76 /  19 = ____ ||||| answer = 4 
<第74题>  128 /  16 = ____ ||||| answer = 8 
<第75题>  4 /  2 = ____ ||||| answer = 2 
<第76题>  40 /  10 = ____ ||||| answer = 4 
<第77题>  102 /  17 = ____ ||||| answer = 6 
<第78题>  8 /  1 = ____ ||||| answer = 8 
<第79题>  60 /  10 = ____ ||||| answer = 6 
<第80题>  1 /  1 = ____ ||||| answer = 1 
<第81题>  85 /  17 = ____ ||||| answer = 5 
<第82题>  117 /  13 = ____ ||||| answer = 9 
<第83题>  76 /  19 = ____ ||||| answer = 4 
<第84题>  9 /  1 = ____ ||||| answer = 9 
<第85题>  126 /  18 = ____ ||||| answer = 7 
<第86题>  98 /  14 = ____ ||||| answer = 7 
<第87题>  35 /  7 = ____ ||||| answer = 5 
<第88题>  9 /  9 = ____ ||||| answer = 1 
<第89题>  9 /  3 = ____ ||||| answer = 3 
<第90题>  55 /  11 = ____ ||||| answer = 5 
<第91题>  19 /  19 = ____ ||||| answer = 1 
<第92题>  2 /  2 = ____ ||||| answer = 1 
<第93题>  24 /  4 = ____ ||||| answer = 6 
<第94题>  7 /  1 = ____ ||||| answer = 7 
<第95题>  49 /  7 = ____ ||||| answer = 7 
<第96题>  55 /  11 = ____ ||||| answer = 5 
<第97题>  1 /  1 = ____ ||||| answer = 1 
<第98题>  15 /  5 = ____ ||||| answer = 3 
<第99题>  48 /  12 = ____ ||||| answer = 4 
<第100题>  50 /  10 = ____ ||||| answer = 5 
